k       lamda   x       y
673      56      205     161
674      325     280     247
675      21      161     750
676      744     639     343
677      644     296     506
678      414     623     47
679      425     513     141
680      184     299     183
681      459     102     120
682      373     92      606
683      27      637     450
684      612     660     494
685      172     386     72
686      293     600     310
687      269     416     371
688      686     54      131
689      218     157     696
690      246     279     83
691      147     302     291
692      323     389     146
693      289     522     469
694      685     79      333
695      47      628     149
696      69      378     579
697      382     603     587
698      506     93      631
699      673     734     552
700      343     510     429
701      274     217     247
702      124     139     413
703      238     180     343
704      634     742     74
705      701     256     409
706      6       531     194
707      646     731     529
708      518     237     23
709      477     490     207
710      579     556     631
711      638     197     107
712      174     39      349
713      500     629     545
714      528     285     96
715      418     207     215
716      177     331     367
717      93      57      332
718      131     582     736
719      580     121     39
720      351     667     571
721      248     6       390
722      378     188     657
723      377     2       373
724      750     750     375
725      0       1       376
726      1       0       376
Level Ep:  727
